chrom	ensembl_start	ensembl_end	tentative_nickname	ensembl_id	tss(polyIC + long reads)	defined_tss	strand	ggroup
1	44365027	44368714	gig1_ssa01	ENSSSAG00000107990	44365420	44365420	+	gig1B_ssa01
2	51318667	51319867	gig2_ssa02_a	ENSSSAG00000111546	no_boundary	51318667	+	gig2C_ssa02a
2	51348035	51349349	gig2_ssa02_b	ENSSSAG00000043147	no_expression	51349349	-	gig2C_ssa02b
2	62210494	62212682	gig2_ssa02_c	ENSSSAG00000001138	no_expression	62212682	-	gig2B_ssa02c
2	62210701	62217787	gig2_ssa02_d	ENSSSAG00000009405	62217729	62217729	-	gig2B_ssa02d
3	95089459	95092726	gig1_ssa03_a	ENSSSAG00000119632	95085097	95085097	+	gig1B_ssa03a
3	95100560	95107946	gig1_ssa03_b	ENSSSAG00000094181	no_expression	95100560	+	gig1B_ssa03b
3	95115341	95117818	gig1_ssa03_c	ENSSSAG00000121001	95113543	95113543	+	gig1B_ssa03c
4	22575110	22595650	gig1_ssa04_a	ENSSSAG00000122053	no_expression	22575110	+	gig1A_ssa04a
4	23280742	23282516	gig1_ssa04_b	ENSSSAG00000096855	23284596	23284596	-	gig1B_ssa04b
4	23308678	23310426	gig1_ssa04_c	ENSSSAG00000090943	low_expression	23311941	-	gig1B_ssa04c
4	23308871	23360245	gig1_ssa04_d	ENSSSAG00000096148	low_confidence	23360245	-	gig1B_ssa04d
4	23323428	23358484	gig1_ssa04_e	ENSSSAG00000100801	low_confidence	23326207	-	gig1B_ssa04e
4	25606770	25609480	gig1_ssa04_f	ENSSSAG00000099670	no_expression	25609480	-	gig1B_ssa04f
4	25758225	25761121	gig1_ssa04_g	ENSSSAG00000064337	25761160	25761160	-	gig1B_ssa04g
4	10640740	10645051	gig2_ssa04_a	ENSSSAG00000097337	10640843	10640843	+	gig2A_ssa04a
4	10643128	10694427	gig2_ssa04_b	ENSSSAG00000052968	low_confidence	10694427	-	gig2A_ssa04b
4	10654486	10654941	gig2_ssa04_c	ENSSSAG00000004064	10654124	10654124	+	gig2A_ssa04c
4	10655039	10656000	gig2_ssa04_d	ENSSSAG00000004068	low_confidence	10654124	+	gig2A_ssa04d
4	10691727	10700577	gig2_ssa04_e	ENSSSAG00000052963	10691192	10691192	+	gig2A_ssa04e
4	10697645	10698497	gig2_ssa04_f	ENSSSAG00000082930	wrong_strand?	10700710	+	gig2_ssa04f
6	5558971	5559951	gig1_ssa06_a	ENSSSAG00000003892	no_expression	5558971	+	gig1B_ssa06a
6	39919777	39926303	gig1_ssa06_b	ENSSSAG00000110616	no_expression	39926303	-	gig1A_ssa06b
8	17748403	17763863	gig2_ssa08_a	ENSSSAG00000105375	low_confidence	17748403	+	gig2A_ssa08a
8	17756846	17758809	gig2_ssa08_b	ENSSSAG00000059620	17756843	17756843	-	gig2A_ssa08b
8	17809164	17817939	gig2_ssa08_c	ENSSSAG00000052985	low_expression	17817412	-	gig2A_ssa08c
12	34254288	34260490	gig1_ssa12	ENSSSAG00000105301	34260040	34260040	-	gig1B_ssa12
12	25005051	25008474	gig2_ssa12_a	ENSSSAG00000104005	25005101	25005101	+	gig2B_ssa12a
12	25010670	25019742	gig2_ssa12_b	ENSSSAG00000083114	no_expression	25010670	+	gig2B_ssa12b
12	35818888	35832255	gig2_ssa12_c	ENSSSAG00000052768	low_confidence	35830040	+	gig2C_ssa12c
14	37621236	37622729	gig1_ssa14	ENSSSAG00000105208	37623446	37623446	-	gig1A_ssa14
22	56175170	56185998	gig1_ssa22	ENSSSAG00000079162	56175209	56175209	+	gig1A_ssa22
24	33686302	33692744	gig2_ssa24	ENSSSAG00000074688	33691936	33691936	-	gig2C_ssa24
